Autor,Title,Year,Volume,Issue,Start Page,End Page,Abstract,DOI,Database
"Koh, Kyu Han and Basawapatna, Ashok and Nickerson, Hilarie and Repenning, Alexander",Real Time Assessment of Computational Thinking,2014,,,49,52,Sin Valor,10.1109/VLHCC.2014.6883021,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.22.23.28.bib
"Denning, Peter J. and Tedre, Matti",COMPUTATIONAL THINKING,2019,,,1,6,Sin Valor,,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.22.23.28.bib
"Karakaş, Elif and Turhan Yöndem, Meltem",Performance-based evaluation of computational thinking skills using machine learning,2020,,,1,5,Sin Valor,10.1109/UYMS50627.2020.9247066,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.22.23.28.bib
"Gerosa, Anaclara and Koleszar, Víctor and Gómez-Sena, Leonel and Tejera, Gonzalo and Carboni, Alejandra",Educational Robotics and Computational Thinking Development in Preschool,2019,,,226,230,Sin Valor,10.1109/LACLO49268.2019.00046,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.22.23.28.bib
"Swaid, Samar and Suid, Taima",Computational Thinking Education: Who Let the Dog Out?,2019,,,788,792,Sin Valor,10.1109/CSCI49370.2019.00150,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.22.23.28.bib
"Handayani, Rif’Ati Dina and Lesmono, Albertus Djoko and Prastowo, Srihandono Budi and Supriadi, Bambang and Dewi, Nila Mutia",Bringing Computational Thinking Skills Into Physics Classroom Through Project-Based Learning,2022,,,76,80,Sin Valor,10.1109/ICET56879.2022.9990631,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.22.23.28.bib
"Nunez, Nicolas A. and Cornejo-Meza, Giuliana and Sánchez, Sandro A.",Comparing computational thinking skills of engineering students in urban and rural areas of Peru,2020,,,1,5,Sin Valor,10.1109/ANDESCON50619.2020.9272097,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.22.23.28.bib
"Hu, Chih-Chien and Chen, Ming-Hsien and Yuadi, Imam and Chen, Nian-Shing",The effects of constructing robot-based storytelling system on college students' computational thinking skill and technology comprehension,2022,,,496,500,Sin Valor,10.23919/ICACT53585.2022.9728803,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.22.23.28.bib
"Carvalho, Tainã and Andrade, Daiane and Silveira, Jayne and Auler, Victor and Cavalheiro, Simone and Aguiar, Marilton and Foss, Luciana and Pernas, Ana and Reiser, Renata",Discussing the Challenges Related to Deployment of Computational Thinking in Brazilian Basic Education,2013,,,111,115,Sin Valor,10.1109/WEIT.2013.27,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.22.23.28.bib
"Liu, Junjie and Xia, Xiaojun and Bai, Yi and Liu, Pingyao",A Study of Micro:bit Teaching Design Based on the Development of Computational Thinking of Secondary School Students,2022,,,198,201,Sin Valor,10.1109/CSTE55932.2022.00043,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.22.23.28.bib
"González-González, Carina S. and Caballero-Gil, Pino and García-Holgado, Alicia and García-Peñalvo, Francisco J. and Molina, Jezabel and del Castillo-Olivares, José M. and San Juan, Bernardo Candela and Cuesta, Sara García and Perdomo, Inmaculada and Caballero-Gil, Cándido and Gutíerrez-Vela, Francisco and Paderewski, Patricia and Holz, Verónica Violant and Iranzo, Rosa Gil and Ramos, Sofía",COEDU-IN Project: an inclusive co-educational project for teaching computational thinking and digital skills at early ages,2021,,,1,4,Sin Valor,10.1109/SIIE53363.2021.9583648,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.22.23.28.bib
"Saenboonsong, Siripon and Poonsawad, Akarapon",Promoting Computational Thinking Skills Through Game-Based Learning of Students in Lower Secondary School,2024,,,1,4,Sin Valor,10.1109/iSTEM-Ed62750.2024.10663178,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.22.23.28.bib
"Turchi, Tommaso and Malizia, Alessio",Fostering computational thinking skills with a tangible blocks programming environment,2016,,,232,233,Sin Valor,10.1109/VLHCC.2016.7739692,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.22.23.28.bib
"Calderón, Juan Felipe and Ebers, Javier",Problock: A tool for computational thinking development using problem-based learning,2017,,,1,5,Sin Valor,10.1109/SCCC.2017.8405132,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.22.23.28.bib
"Revana, Guruswamy and Kavita, K. and Madhavi, V.",Exploring the Concept of Computational Thinking in STEM Education,2021,,,375,380,Sin Valor,10.1109/WEEF/GEDC53299.2021.9657230,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.22.23.28.bib
"Gonzalez-Torres, Antonio and Ramirez-Trejos, Elliot and Sancho-Chavarria, Lilliana and Navas-Su, Jose and Garita, Cesar and Monge-Fallas, Jorge",Towards the Assessment of Basic Computational Thinking Skills Using Syntactic Analysis Techniques,2023,,,1090,1095,Sin Valor,10.1109/CSCE60160.2023.00181,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.22.23.28.bib
"Rao, Toluchuri Shalini Shankar and Tiwari, Ajay Shankar and Mitra, Utanko and Bhagat, Kaushal Kumar",Effectiveness of marker-based augmented reality game on computational thinking skills and cognitive load for middle school students,2024,,,222,226,Sin Valor,10.1109/ICALT61570.2024.00071,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.22.23.28.bib
"Hu, Chih-Chien and Tseng, Hsiao-Ting and Chen, Ming-Hsien and Goh Phaik Imm, Alexis and Chen, Nian-Shing",Comparing the effects of robots and IoT objects on STEM learning outcomes and computational thinking skills between programming-experienced learners and programming-novice learners,2020,,,87,89,Sin Valor,10.1109/ICALT49669.2020.00033,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.22.23.28.bib
"Caballero-González, Yen-Air and Muñoz, Lilia and Muñoz-Repiso, Ana García-Valcárcel",Pilot Experience: Play and Program with Bee-Bot to Foster Computational Thinking Learning in Young Children,2019,,,601,606,Sin Valor,10.1109/IESTEC46403.2019.00113,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.22.23.28.bib
"Huang, Wei-Yeh and Hu, Chiu-Fan and Wu, Cheng-Chih",The Use of Different Kinds of Robots to Spark Student Interest in Learning Computational Thinking,2018,,,11,16,Sin Valor,10.1109/LaTICE.2018.00-13,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.22.23.28.bib
"Jin, Yunbo and Sun, Junmei and Ma, Hongliang and Wang, Xiaohong",The impact of different types of scaffolding in project-based learning on girls' computational thinking skills and self-efficacy,2021,,,362,366,Sin Valor,10.1109/EITT53287.2021.00077,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.22.23.28.bib
"Muñoz del Castillo, Armando and Muñoz, Mario A. and Acosta Huertas, Lydia Cruz and Herrera, Edgar and Jimenez Toledo, Javier and Ramos, Deixy Ximena",Developing a Teacher Training Curriculum Including Computational Thinking Skills: Early Advances on a Study Focused on Colombia,2019,,,8,11,Sin Valor,10.1109/LACLO49268.2019.00012,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.22.23.28.bib
"Deng, Zhenrong and Huang, Wenming and Dong, Rongsheng and Wen, Peizhi",Exploration of ability development of engineering and computational thinking skills in software engineering majors,2009,,,1665,1668,Sin Valor,10.1109/ICCSE.2009.5228288,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.22.23.28.bib
"Curasma, Ronald Paucar and Jara, Nolan Jara and Curasma, Herminio Paucar and Ornetta, Victor Cruz",Assessment of Computational Thinking in regular basic education: case I.E.T.P. “José Obrero”,2019,,,1,4,Sin Valor,10.1109/INTERCON.2019.8853613,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.22.23.28.bib
"Geremias, Matheus Soppa and Dutra, Taynara Cerigueli and Gasparini, Isabela and Maschio, Eleandro",An Educational Game to Promote the Development of Computational Thinking in Children Both Neurotypical and with Intellectual Disabilities,2023,,,105,107,Sin Valor,10.1109/ICALT58122.2023.00036,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.22.23.28.bib
"DeMarco, Donna and Frye, Lisa and Schwesinger, Dylan",Towards Incorporating Computational Thinking Skills Across the Curriculum,2024,,,1,6,Sin Valor,10.1109/FIE61694.2024.10893039,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.22.23.28.bib
"Pérez, Alexis Daniel Fuentes and Valladares, Gara Miranda",Development and assessment of computational thinking: A methodological proposal and a support tool,2018,,,787,795,Sin Valor,10.1109/EDUCON.2018.8363311,analisis/static/assets/Data_Base\IEEE Xplore Citation BibTeX Download 2025.3.18.22.23.28.bib
