Title,Autor,Year
Thinking may be more than computing,Peter Kugel,1986
CHAPTER 1 - A Contemporary Perspective on Social Development,Robert B. Cairns,1986
Verification of rule-based expert systems,William T. Wood and Elaine N. Frankowski,1990
The owl and the electric encyclopedia,Brian Cantwell Smith,1991
News of IMACS,Sin Valor,1994
CHAPTER 1 - Thinking Computers and The Problem of Intentionality,Eric Dietrich,1994
CHAPTER 1 - History of Research on Thinking and Problem Solving,Roger L. Dominowski and Lyle E. Bourne,1994
Chapter 8 - Interference and Inhibition in Memory Retrieval,Michael C. Anderson and James H. Neely,1996
Turing's analysis of computation and theories of cognitive architecture,A.J. Wells,1998
Introduction for 2002 Special Issue:Computational Models of Neuromodulation,Kenji Doya and Peter Dayan and Michael E Hasselmo,2002
Quantum-like brain: “Interference of minds”,Andrei Khrennikov,2006
Computational thinking,"Wing, Jeannette M.",2006
Session details: Computational thinking,"Henderson, Peter",2007
Session details: Computational thinking,"Henderson, Peter",2007
Human Being Properties of Saplings Growing up Algorithm,"Karci, Ali",2007
Computational thinking,"Henderson, Peter B. and Cortina, Thomas J. and Wing, Jeannette M.",2007
Broadening the Audience for Computational Thinking:Graduate Student Consortium,"Pane, John F. and Rosson, Mary Beth",2007
Abstracts,Sloan Evans Despeaux and Laura Martini and Kim Plofker,2007
Work in progress — analyzing the gap between diagrams and code in computer science,"Davies, Stephen",2008
The effects of emphasizing computational thinking in an introductory programming course,"Davies, Stephen",2008
Expanding the benefits of computational thinking to diverse populations: Graduate student consortium,"Pane, John F. and Wiedenbeck, Susan",2008
Escape machine: teaching computational thinking with a tangible state machine game,"Weller, Michael Philetus and Do, Ellen Yi-Luen and Gross, Mark D",2008
EducationPaving the way for computational thinking,"Guzdial, Mark",2008
Design planning by end-user web developers,Mary Beth Rosson and Hansa Sinha and Mithu Bhattacharya and Dejin Zhao,2008
Computational thinking and thinking about computing,"Wing, Jeannette",2008
An Innovative Approach to Teaching an Undergraduate Software Engineering Course,"Lester, Cynthia Y.",2008
An embodied interface for teaching computational thinking,"Good, Judith and Romero, Pablo and du Boulay, Benedict and Reid, Henry and Howland, Katherine and Robertson, Judy",2008
A space–time-ensemble parallel nudged elastic band algorithm for molecular kinetics simulation,Aiichiro Nakano,2008
Ubiquitous Computational Thinking,"Henderson, Peter B.",2009
Thinking about computational thinking,"Lu, James J. and Fletcher, George H.L.",2009
The profession of ITBeyond computational thinking,"Denning, Peter J.",2009
The present and future of computational thinking,"Astrachan, Owen and Hambrusch, Susanne and Peckham, Joan and Settle, Amber",2009
Teaching computational thinking through bioinformatics to biology students,"Qin, Hong",2009
Supporting the development of multimodal writing and computational thinking skills through computer game creation,"Howland, Katy",2009
Session details: Panel: computational thinking: on weaving it in,"Peckham, Joan",2009
Session details: Panel: computational thinking: on weaving it in,"Peckham, Joan",2009
Session details: Computational thinking across disciplines,"Rabung, John",2009
Session details: Computational thinking across disciplines,"Rabung, John",2009
Programming Courses Teaching Method for Ability Enhancement of Computational Thinking,"Huang, Wenming and Deng, Zhenrong and Rongsheng, Dong",2009
Language-based support for computational thinking,"Howland, Katy and Good, Judith and Nicholson, Keiron",2009
Is Culture Computable?,"Wang, Fei-Yue",2009
How Can We Teach Computational Literacy to All Levels of Students?,"Kim, SooHwan and Han, SeonKwan and Kim, HyeonCheol",2009
Exploration of ability development of engineering and computational thinking skills in software engineering majors,"Deng, Zhenrong and Huang, Wenming and Dong, Rongsheng and Wen, Peizhi",2009
