0,1,2,3
"""AliCe-ViLlagE"" Alice as a Collaborative Virtual Learning Environment","Al-Jarrah, Ahmad and Pontelli, Enrico",2014,Sin Valor
"""Computer Science, Academia and Industry"" as pedagogical model to enhance Computational thinking","Meerbaum-Salant, Orni and Haberman, Bruria and Pollack, Sarah",2015,"The Computer Science, Academia and Industry extra-curricular program has been operated for Israeli high school students majoring in computer science. A case study was conducted aimed to identify computational thinking in students' project development processes."
"""Data comes from the real world"": A Constructionist Approach to Mainstreaming K12 Data Science Education","Ravi, Prerna and Parks, Robert and Masla, John and Abelson, Hal and Breazeal, Cynthia",2024,"Data science is emerging as a crucial 21st-century competence, influencing professional practices from citing evidence when advocating for social change to developing artificial intelligence (AI) models. For middle and high school students, data science can put formerly decontextualized subjects into real-world scenarios. Many existing curricula, however, lack authenticity and personal relevance for students. A critique of data science courseware cites the lack of ""author proximity,"" in which students do not contribute to the data's production or see their personal experiences reflected in the data. This paper introduces a novel data science curriculum to scaffold middle and high school students in undertaking real-world data science practices. Through project-based learning modules, the curriculum engages students in investigating solutions to community-based problems through visualization and analysis of live sensor data and public data sets. Materials include formative assessments to help educators (especially those from non-math and computing backgrounds) measure their students' abilities to identify statistical patterns, critically evaluate data biases, and make predictions. As we pilot and co-design with teachers, we will look closely at whether the curriculum's resources can successfully support non-technical practitioners engaging in an integrated curriculum."
"""Look at Our Smart Shoe"" - a Scalable Online Concept for Introducing Design as Part of Computational Thinking in Grades 1-6","Mannila, Linda and Skog, Mia",2023,"While programming is a process covering many stages, many of the tasks K-12 students meet at school are small with little need for, e.g., analysis or design. These earlier phases are, however, important to let children meet open-ended problems, brainstorm solutions and ideate their own creative designs. In this paper we present a model for an online, scalable and scaffolded design workshop for covering such aspects at K-12 level. Through a case study with 1200 students and 60 teachers on IoT and smart things, we describe the workshop and the resulting designs. While the students managed to design their own artifacts, more time had been needed for covering ethical aspects related to technology design. The results suggest creating separate workshops for different grade levels, and also for design and ethical aspects respectively. Moreover, additional resources could support teachers in continuing the discussion with the students after the workshop."
"""Oh no, my instructions were wrong!"" An Exploratory Pilot Towards Children’s Trust in Social Robots","Stower, Rebecca and Kappas, Arvid",2020,Sin Valor
"""That's What Science Is, All This Data:"" Coding Data Visualizations in Middle School Science Classrooms","Krakowski, Ari and Greenwald, Eric and Roman, Natalie",2022,"In this experience report, we describe the Investigating Air Quality curriculum unit that integrates computational data practices with science learning in middle school science classrooms. The unit is part of the Coding Science Internship instructional model, designed to broaden access to computer science (CS) learning through scalable integration in core science courses, and through confronting barriers to equitable participation in STEM. In this report, we describe the core features of the unit and share preliminary findings and insights from student experiences in 13 science classrooms. We discuss affordances and challenges for student learning of computational data practices in formal science classrooms, and conclude with emerging recommendations for instructional designers."
"""The \""COOL Clubs\"": Supporting gifted primary school students in STEAM""","Schwinghammer, Michaela and Milisic, Daniela and Schmidthaler, Eva and Sabitzer, Barbara",2024,"The rapid rise of computational technologies has heightened the demand for proficient computer scientists. A strong foundation in Computer Science (CS) and Digital Education (German: Digitale Grundbildung DGB) has become crucial, even for young learners. Despite the growing importance of CS and DGB in Austria, a gap remains in comprehensive understanding among students and educators. This study aims to bridge this gap by making CS accessible to primary school students and teachers. The solution, COOL Lab, is an active learning center offering diverse STEAM (Science, Technology, Engineering, Arts, and Mathematics) programs. These programs facilitate cross-disciplinary education, supported by innovative CS technologies, nurturing computational thinking (CT) as a problem-solving tool, and enhancing digital skills. Focusing on COOL Lab Clubs, tailored for gifted primary school students, specifically the 'Girls* Only IT-Club' and 'Mini Club', this research first introduces these clubs and then presents insights from four club activities, along with methodologies enhancing CS and CT comprehension. Early results from a questionnaire involving 20 participants aged 9-10 were analyzed. At the outset, almost half of the participants, particularly girls, lacked exposure to CT and CS yet showed eagerness to learn. Initial findings of the club evaluations indicate a strong interest in STEM (Science, Technology, Engineering, and Mathematics) as well as CS and a positive response to the COOL Clubs."
"""This is like a toy, it already got me"": Results of Two Usability Studies of Robotito VPL App with Teachers: Robotito VPL Usability Evaluations","Abelda\~{n}o, Romina and Bakala, Ewelina and Hitta, Santiago and Pires, Ana Cristina",2024,"The relevance of computational thinking (CT) in early education is globally recognized, with Uruguay already incorporating it into kindergarten curricula. However, there is a notable disconnect: existing CT tools, primarily devised for small home groups, fall short in larger classroom settings. To bridge this gap, we developed Robotito VPL – an innovative, free, open-source application tailored to teachers with no programming background. Robotito VPL enables teachers to guide young children in CT learning with Robotito, a robot that engages with its surroundings, supporting a playful, hands-on learning experience for children. This paper presents the results of two usability evaluations with seven teachers. We then translated the outcomes of these evaluations into valuable lessons learned and specific design requirements."
"""We are in this together"": Supporting Neurodiverse Children in Participatory Design through Design Partnering","Iversen, Noah Teglvang Sejer and Ernstsen, Mathias Lundgaard and Iversen, Ole Sejer and Iivari, Netta and Kinnula, Marianne and Sharma, Sumita and Eriksson, Eva",2024,"We report how designers support active engagement of neurodiverse children (13 -16 y.o.) in participatory design (PD) through “Design Partnering”. Design partnering denotes a process in which neurodiverse children are teamed up with neurotypical peers to help them overcome cognitive, social, and relational barriers and thus make their engagement more active during design. We contribute with studies of design partnering in three different PD activities: Field studies, Ideation, and Prototyping. We map out the opportunities and challenges we faced in our study when applying design partnering in PD research. We discuss our findings to lay out future studies to be conducted in Child-Computer Interaction research to provide more knowledge on the potentiality and challenges of design partnering in PD."
"""We'll be Scratching all the Time""","Killen, Heather and Coenraad, Merijke and Cabrera, Lautaro and Mills, Kelly and Ketelhut, Diane Jass and Plane, Jan",2020,"School systems globally have begun to integrate computational thinking (CT) practices into elementary teaching and learning standards to provide young students with a comfort for and foundational understanding of computer science. This integration requires educating teachers to develop and implement CT learning opportunities. Our work contributes to best practice by exploring the role language plays in elementary teachers' discussions and development of CT-infused science lessons. To do this, we captured and analyzed the language used by elementary teachers as they spoke and wrote about CT in a multi-week professional development experience during which the teachers created and delivered CT-infused lessons to their students. We determined that teachers exhibited differing CT conceptualizations, which we categorized from broad to narrow. These differences were not, however, observed in either their spoken or written language. While there were instances of teachers using language that mirrored how the facilitators discussed CT, this use did not align with how they conceptualized CT. Our work analyzing connections between CT language use and CT conceptualization suggests that in order to understand how teachers are conceptualizing CT, professional development designers and teacher educators should focus on creating opportunities for teachers to employ CT practices in context rather than relying only on language. We feel this will support a more precise and nuanced engagement with CT."
1 - The influences of personality traits on academic performance through imaginative capability: the differences between engineering and science,C. Liang and H.-T. Yeh,2014,"Abstract:
This study aimed to examine how imaginative capabilities act as a mediator between personality traits and academic performance, and to compare the different ways these factors affect engineering and science majors. The hypotheses were tested with data from five universities across different regions in Taiwan. The participants were a sample of 700 undergraduates, who were divided into engineering and science groups. The results showed that, through the mediator effect of imaginative capabilities, conscientiousness had the greatest impact on academic performance among engineering and science groups. Agreeableness was identified as the second major predictor of student performance in both groups. The influence of openness on student performance was slight and positive, whereas that of extraversion was slight and negative. The major differences in personality, imagination and performance structures between the two groups were the direct results of agreeableness, extraversion, initiating imagination, and conceiving imagination."
1 WHAT IS COMPUTATIONAL THINKING?,"Denning, Peter J. and Tedre, Matti",2019,Sin Valor
10 Binary Games for Computer Science Education,"Wright, Hannah and Aycock, John",2020,"In the race to teach programming to large, diverse audiences, low-level topics have received short shrift. We address this gap by presenting two (""10"") games we have designed - one a card game, the other an online game - to help students learn both binary manipulation and operations. These two games stand out from existing computer science 'edutainment' through their novel presentation and unique take on topics that are relatively unexplored in games."
11 - For the mutual benefit: Health information provision in the science classroom,Albert Zeyer and Daniel M. Levin and Alla Keselman,2015,"In this chapter, the authors argue that the school science classroom should help students deal with complex real-life information about health and disease. They also discuss means by which curriculum and instruction in science education can be tied to these issues. The chapter reviews opportunities and challenges presented to individuals by the expectations of participatory health care, focusing on models of health literacy that can help understand and address the challenges. The authors argue that the problem of ensuring effective information use often lies in a transmission approach to health information provision. Transmitted knowledge is often not understood nor applied, as demonstrated in studies of human papillomavirus vaccination education. An alternative to knowledge transmission is the approach that aims to foster critical literacy, which is grounded in critical thinking essential to the practice of science. The chapter reviews a number of interdisciplinary science education activities that introduce health issues in the context of biology, physics, and chemistry education, ensuring deep understanding needed for developing critical literacy. It also discusses science education approaches and theories that encourage the development of deep, culturally meaningful science knowledge. Finally, the chapter reviews professional development and the role of various professionals, including teachers and librarians, in the collaborative endeavor of effective health information provision."
19 - The Insight Engine 2.0: the body and biomimetic systems as intelligent environments,Bill Seaman and Quran Karriem and Dev Seth and Hojung Ashley Kwon and John Herr,2023,"The body as an intelligent environment, nested within the larger environment of the natural and man-made world, is discussed. A linked set of embodied processes, where cognition is enacted is articulated. Extended intelligence technologies, interaction with other humans and embodied experience points to sentience in humans as being socially and linguistically framed. Sentience abstraction is used to define a model for Neosentience, a branch of AI exploring synthetic sentience via biomimetics—the reembodiment of the functional entailment structures enabling human sentience to arise. A transdisciplinary database, intelligent search engine (I_E), and a series of visualization strategies are discussed, enabling advanced transdisciplinary research. A new form of bioalgorithm to empower the arising of Neosentience is one goal. The ethics of AI and a series of other research topic areas are articulated. A repurposing of the author's Insight Engine 2.0 into a new version for the development of advanced systems for a healthy environment becomes future research."
"1st ACM SIGSPATIAL Workshop on Geo-Computational Thinking in Education (GeoEd 2019): Chicago, Illinois, USA - November 5, 2019","Magdy, Amr and Dony, Coline",2020,"The 1st International Workshop on Geo-computational Thinking in Education (GeoEd 2019) was held in conjunction with the 27th ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems (ACM SIGSPATIAL 2019). The workshop is intended to bring together experts from both geography (or related) and computer science disciplines who have primary interest in geospatial data and technologies, either from academia or industry, to discuss the grand challenges towards improving existing learning pathways through integration of geo-computational thinking in higher education. This could impact a variety of disciplines that increasingly deal with geospatial data beyond geography, such as social sciences, environmental sciences, public policy, climatology, and other geo-related disciplines. The workshop speakers and attendants have discussed their vision on challenges and opportunities of various topics within the workshop scope."
2 COMPUTATIONAL METHODS,"Denning, Peter J. and Tedre, Matti",2019,Sin Valor
23 - Sustainability in production and opportunities of electroconductive textiles,Pravin P. Chavan and Rupayan Roy and Vidhu Sekhar P. and Subhankar Maity and Pintu Pandit,2025,"Electroconductive textiles represent a significant advancement in wearable technology, promising innovations in fields ranging from healthcare to fashion. These fabrics integrate conductive materials into their structure, enabling them to transmit electrical signals effectively. However, despite their immense potential, the production of electroconductive textiles presents several challenges that must be addressed to realize their full benefits. Efforts are being taken to establish the relationship between sustainability concepts and new technologies in the textile sector, specifically focusing on electroconductive textiles. The concept starts with conventional textile manufacturing methods, emphasizing the environmental issues linked with it and then explores sustainable options, such as environmentally friendly processing techniques and cutting-edge materials. An analysis of electroconductive fabrics is provided, detailing their description, features, uses, and recent technical progress. Furthermore, the chapter adds to the environmental advantages of electroconductive fabrics, including decreased material usage, replacement of harmful substances, and prolonged product durability. It also examines how these fabrics enhance energy efficiency by combining with energy harvesting technologies, low-power electronics, and intelligent energy management systems. It also offers insights into the sustainable potentials and opportunities of electroconductive fabrics based on current research and industrial experiences."
3 COMPUTING MACHINES,"Denning, Peter J. and Tedre, Matti",2019,Sin Valor
