Title,Autor,Year
Thinking may be more than computing,Peter Kugel,1986
CHAPTER 1 - A Contemporary Perspective on Social Development,Robert B. Cairns,1986
A mark 1 geographical analysis machine for the automated analysis of point data sets,"Openshaw, Stan and Charlton, Martin and Wymer, Colin and Craft, Alan",1987
A Mark 1 Geographical Analysis Machine for the automated analysis of point data sets,"STAN OPENSHAW, MARTIN CHARLTON, COLIN WYMER and ALAN CRAFT",1987
Verification of rule-based expert systems,William T. Wood and Elaine N. Frankowski,1990
The owl and the electric encyclopedia,Brian Cantwell Smith,1991
"Practical sales forecasting: E.J. Davis, (McGraw-Hill Book Company, London, 1988), pp. x + 291, $13.95.",Mark W. Speece,1991
The role of mental imagery and emotion in imagined interaction,"Kenneth S. Zagacki, Renee Edwards and James M. Honeycutt",1992
A parallel scalable approach to short-range molecular dynamics on the CM-5,R. Giles; P. Tamayo,1992
A computational alternative to the Piagetian infant,Julie C. Rutkowska,1992
Fuzzy-Trace Theory and Framing Effects in Children’s Risky Decision Making,Valerie F Reyna and Susan C Ellis,1994
Scaling Up Sensorimotor Systems: Constraints from Human Infancy,Julie C. Rutkowska,1994
Fuzzy-trace theory and framing effects in children's risky decision making,"Reyna, Valerie F. and Ellis, Susan C.",1994
CHAPTER 1 - Thinking Computers and The Problem of Intentionality,Eric Dietrich,1994
News of IMACS,Sin Valor,1994
CHAPTER 1 - History of Research on Thinking and Problem Solving,Roger L. Dominowski and Lyle E. Bourne,1994
Habituation of an invertebrate escape reflex due to modulation by higher centers rather than local events,"Krasne, Franklin B. and Teshiba, Terri M.",1995
"I'm trying to think, but nothing happens! [robotics]",B. R. Carlisle,1995
Computational imagery and diagrammatic reasoning: a case study in kinematics,P. Olivier; K. Nakata,1996
Chapter 8 - Interference and Inhibition in Memory Retrieval,Michael C. Anderson and James H. Neely,1996
"Thinking, expertise and diagrams that encode laws",P. C. . -H. Cheng,1996
Robotic perception of dwelling: threshhold of thinking machines,T. Gomi; W. Pedrycz; J. F. Peters; S. Ramanna,1997
Turing's analysis of computation and theories of cognitive architecture,A.J. Wells,1998
Computational support for visual thinking in design ideation,R. Oxman,1998
Query expansion using fuzzy abductive inference for creative thinking support system,Y. Miyata; T. Furnhashi; Y. Uchikawa,1998
CHALLENGING THE COMPUTATIONAL METAPHOR: IMPLICATIONS FOR HOW WE THINK,Lynn Andrea Stein,1999
Human based genetic algorithm,A. Kosorukoff,2001
"AnaLogic Wave Computers-wave-type algorithms: canonical description, computer classes, and computational complexity",T. Roska,2001
"Preservice teachers' thinking styles, dispositions, and changes in their teacher behaviors",Yu-chu Yeh,2002
Introduction for 2002 Special Issue:Computational Models of Neuromodulation,Kenji Doya and Peter Dayan and Michael E Hasselmo,2002
The sense-think-act paradigm revisited,M. Siegel,2003
The economical simulation problem,Faming Li; R. E. Skelton,2003
Performance Systems,Johannes Birringer,2003
Two types of anticipation in sensory-motor coupling,Y. Miyake; Y. Onishi; E. Popper,2003
Implementation of human-like intelligent inference and control,Peijin Wang; Yibin Song,2003
Simulation education is no substitute for intelligent thinking,Paul; Eldabi; Kuljis,2003
On the fusion and transference of knowledge. II,S. H. Rubin,2003
Study on the implementation of human-like intelligent inference and control,Pei-Jin Wang; Yi-Bin Song,2003
"Edmund Berkeley, computers, and modern methods of thinking",B. Longo,2004
Lying and deception with visual evoked potentials,E. Micheli-Tzanakou; A. Eugene; M. Tan; K. Kim,2004
Integrated intelligent algorithm for product design based on simulation of creative thinking,Chaoan Lai; Yanming Sun; Guoyan Yu,2004
