Title,Autor,Year
CHAPTER 1 - A Contemporary Perspective on Social Development,Robert B. Cairns,1986
CHAPTER 1 - Thinking Computers and The Problem of Intentionality,Eric Dietrich,1994
CHAPTER 1 - History of Research on Thinking and Problem Solving,Roger L. Dominowski and Lyle E. Bourne,1994
Chapter 8 - Interference and Inhibition in Memory Retrieval,Michael C. Anderson and James H. Neely,1996
Computational thinking,"Wing, Jeannette M.",2006
Computational thinking,"Henderson, Peter B. and Cortina, Thomas J. and Wing, Jeannette M.",2007
Abstracts,Sloan Evans Despeaux and Laura Martini and Kim Plofker,2007
Broadening the Audience for Computational Thinking:Graduate Student Consortium,"Pane, John F. and Rosson, Mary Beth",2007
EducationPaving the way for computational thinking,"Guzdial, Mark",2008
An embodied interface for teaching computational thinking,"Good, Judith and Romero, Pablo and du Boulay, Benedict and Reid, Henry and Howland, Katherine and Robertson, Judy",2008
A space–time-ensemble parallel nudged elastic band algorithm for molecular kinetics simulation,Aiichiro Nakano,2008
Expanding the benefits of computational thinking to diverse populations: Graduate student consortium,"Pane, John F. and Wiedenbeck, Susan",2008
Computational thinking and thinking about computing,"Wing, Jeannette",2008
Escape machine: teaching computational thinking with a tangible state machine game,"Weller, Michael Philetus and Do, Ellen Yi-Luen and Gross, Mark D",2008
Design planning by end-user web developers,Mary Beth Rosson and Hansa Sinha and Mithu Bhattacharya and Dejin Zhao,2008
An Innovative Approach to Teaching an Undergraduate Software Engineering Course,"Lester, Cynthia Y.",2008
Exploration of ability development of engineering and computational thinking skills in software engineering majors,"Deng, Zhenrong and Huang, Wenming and Dong, Rongsheng and Wen, Peizhi",2009
A new way of thinking about computational thinking,"Astrachan, Owen",2009
Discussion of Ability Cultivation of Computational Thinking in Course Teaching,"Deng, Zhenrong and Huang, Wenming and Dong, Rongsheng",2009
Computational thinking (CT): on weaving it in,"Curzon, Paul and Peckham, Joan and Taylor, Harriet and Settle, Amber and Roberts, Eric",2009
Computational thinking through programming and algorithmic art,"Orr, Genevieve",2009
Computational Thinking … and Doing,"Thiruvathukal, George K.",2009
Computational thinking,"Wing, Jeannette",2009
Emotions as metarepresentational states of mind: Naturalizing the belief–desire theory of emotion,Rainer Reisenzein,2009
Aligning Computing Education with engineering workforce computational needs: New curricular directions to improve computational thinking in engineering graduates,"Vergara, Claudia E. and Urban-Lurain, Mark and Dresen, Cindee and Coxen, Tammy and MacFarlane, Taryn and Frazier, Kysha and Briedis, Daina and Buch, Neeraj and Esfahanian, Abdol-Hossein and Paquette, Louise and Sticklen, Jon and LaPrad, Jeannine and Wolff, Thomas F.",2009
AgentCubes: Incremental 3D end-user development,Andri Ioannidou and Alexander Repenning and David C. Webb,2009
A multidisciplinary approach towards computational thinking for science majors,"Hambrusch, Susanne and Hoffmann, Christoph and Korb, John T. and Haugan, Mark and Hosking, Antony L.",2009
Computational thinking: special sauce or snake oil?,"Xu, Yan and Peters, Joseph and Kirkpatrick, Arthur and O'Neil, Kevin",2009
A framework for computational thinking across the curriculum,"Perkovi\'{c}, Ljubomir and Settle, Amber and Hwang, Sungsoon and Jones, Joshua",2010
Diagnostics and rubrics for assessing learning across the computational science curriculum,J. Russell Manson and Robert J. Olsen,2010
Computational thinking in high school courses,"Allan, Vicki and Barr, Valerie and Brylow, Dennis and Hambrusch, Susanne",2010
Computational thinking via interactive journalism in middle school,"Wolz, Ursula and Stone, Meredith and Pulimood, Sarah M. and Pearson, Kim",2010
Flipping coins: an activity for introducing computational thinking to non-computer science majors: demonstration,"Toth, David",2010
Assessing and refining an undergraduate computational science curriculum,J. Russell Manson and Robert J. Olsen,2010
Can computational thinking reduce marginalization in the future Internet?,"Wentworth, Peter",2010
Computational science: A kaleidoscopic view into science,Peter M.A. Sloot,2010
Developing a community definition and teaching modules for computational thinking: accomplishments and challenges,"Ater-Kranov, Ashley and Bryant, Robert and Orr, Genevieve and Wallace, Scott and Zhang, Mo",2010
A computational introduction to STEM studies,"Freudenthal, Eric and Ogrey, Alexandria N. and Roy, Mary K. and Siegel, Alan",2010
BingBee @ RaglanRoad - A field trial with unattended educational kiosks,"Wentworth, Peter",2010
Computational thinking and interdisciplinary encounters: keynote address,"Dourish, Paul",2010
Connecting undergraduate programs to high school students: teacher workshops on computational thinking and computer science,"Morreale, Patricia and Joiner, David and Chang, George",2010
Computational thinking for the sciences: a three day workshop for high school science teachers,"Ahamed, Sheikh Iqbal and Brylow, Dennis and Ge, Rong and Madiraju, Praveen and Merrill, Stephen J. and Struble, Craig A. and Early, James P.",2010
Fourth Workshop on Teaching Computational Science (WTCS 2010),A. Tirado-Ramos and A.B. Shiflet,2010
Computational Thinking Is Becoming One of the Three Rs,"Day, Charles",2011
Computational thinking: modeling applied to the teaching and learning of English,"Howell, Linda and Jamba, Lisa and Kimball, A. Samuel and Sanchez-Ruiz, Arturo",2011
Collaborative teaching of globally distributed software development: community building workshop (CTGDSD 2011),"Faulk, Stuart and Young, Michal and Weiss, David and Yu, Lian",2011
Computational thinking: what it might mean and what we might do about it,"Hu, Chenglie",2011
Computational thinking in a game design course,"Settle, Amber",2011
Algorithmic composition: computational thinking in music,"Edwards, Michael",2011
Computational Thinking and Expository Writing in the Middle School,"Wolz, Ursula and Stone, Meredith and Pearson, Kim and Pulimood, Sarah Monisha and Switzer, Mary",2011
A novel interdisciplinary course in gerontechnology for disseminating computational thinking,"Yang, Hen-I and Martin, Peter and Satterfield, Debra and Babbitt, Ryan and Wong, Johnny and Shelley, Mack and Chang, Carl K.",2011
A study of the Classified teaching of “Fundamentals of Information Technology” course based on computational thinking,"Chun-Hong, Wang and Qiao-Ling, Wang",2011
Changing perceptions of computer science and computational thinking among high school teachers,"Morreale, Patricia and Joiner, David",2011
Four-layer framework for combinatorial optimization problems domain,Mark Sh. Levin,2011
A model for piloting pathways for computational thinking in a general education curriculum,"Dierbach, Charles and Hochheiser, Harry and Collins, Samuel and Jerome, Gerald and Ariza, Christopher and Kelleher, Tina and Kleinsasser, William and Dehlinger, Josh and Kaza, Siddharth",2011
CS1 students' understanding of computational thinking concepts,"Qualls, Jake A. and Grant, Michael M. and Sherrell, Linda B.",2011
Computational thinking,"Wing, Jeannette M.",2011
eScience: Building our Body of Knowledge,Valerie Maxville,2011
Bringing computational thinking to K-12: what is Involved and what is the role of the computer science education community?,"Barr, Valerie and Stephenson, Chris",2011
Computing learning acquisition?,"Bennett, Vicki and Koh, KyuHan and Repenning, Alexander",2011
Conversational programming in action,"Repenning, Alexander",2011
Computational thinking for youth in practice,"Lee, Irene and Martin, Fred and Denner, Jill and Coulter, Bob and Allan, Walter and Erickson, Jeri and Malyn-Smith, Joyce and Werner, Linda",2011
Computational thinking and computer fundamental education,Lina Wang,2011
Algo.Rhythm: computational thinking through tangible music device,"Peng, Huaishu",2012
A Unified Approach to Teach Computational Thinking for First Year Non–CS Majors in an Introductory Course,Tun Li and Ting Wang,2012
From computational thinking to computational values,"Abelson, Hal",2012
Diagnosing steam production systems on their multivariable steady states,J.M. Blanco and L. Vazquez and F. Peña and D. Diaz,2012
Blocks languages for creating tangible artifacts,"Turbak, Franklyn and Sandu, Smaranda and Kotsopoulos, Olivia and Erdman, Emily and Davis, Erin and Chadha, Karishma",2012
Computational thinking and creative practice,"Blackwell, Alan",2012
Abenteuer informatik: hands-on exhibits for learning about computational thinking,"Gallenbacher, Jens",2012
Computational thinking outreach: reaching across the K-12 curriculum,"Pokorny, Kian L. and White, Nathan",2012
Chapter 6 - Biocompatibility of SiC for Neurological Applications,Christopher L. Frewin and Chris Locke and Stephen E. Saddow and Edwin J. Weeber,2012
Documentation comes to life in computational thinking acquisition with agentsheets,"Mota, Marcelle Pereira and Faria, Leonardo Serra and de Souza, Clarisse Sieckenius",2012
CTArcade: learning computational thinking while training virtual characters through game play,"Lee, Tak Yeon and Mauriello, Matthew Louis and Ingraham, John and Sopan, Awalin and Ahn, June and Bederson, Benjamin B.",2012
