Title,Autor,Year
A computational introduction to STEM studies,"Freudenthal, Eric and Ogrey, Alexandria N. and Roy, Mary K. and Siegel, Alan",2010
A framework for computational thinking across the curriculum,"Perkovi\'{c}, Ljubomir and Settle, Amber and Hwang, Sungsoon and Jones, Joshua",2010
3rd International workshop on collaborative teaching of globally distributed software development (CTGDSD 2013),"Faulk, Stuart and Young, Michal and Prikladnicki, Rafael and Weiss, David M. and Yu, Lian",2013
A longitudinal study of the effects of a high school robotics and computational thinking class on academic achievement (WIP),"Ko, Pat",2013
A media-reduced approach towards informatics at primary level,"Antonitsch, Peter K. and Gigacher, Cornelia and Hanisch, Liselotte and Sabitzer, Barbara",2013
"""AliCe-ViLlagE"" Alice as a Collaborative Virtual Learning Environment","Al-Jarrah, Ahmad and Pontelli, Enrico",2014
1 - The influences of personality traits on academic performance through imaginative capability: the differences between engineering and science,C. Liang and H.-T. Yeh,2014
11 - For the mutual benefit: Health information provision in the science classroom,Albert Zeyer and Daniel M. Levin and Alla Keselman,2015
A container terminal logistics computational architecture with MPSoC distributed cooperative computing perspective,"Bin, Li",2015
A Distributed Robot Garden System,"Sanneman, Lindsay and Ajilo, Deborah and DelPreto, Joseph and Mehta, Ankur and Miyashita, Shuhei and Poorheravi, Negin Abdolrahim and Ramirez, Cami and Sehyuk Yim and Kim, Sangbae and Rus, Daniela",2015
A Gang Scheduling Computational Paradigm for Container Terminal Logistics with Processor Affinity,"Li, Bin and Shen, Weiming",2015
A bilingual MOOC that teaches youngsters how to program: Analysis and reflections on one year of experiences,"de Kereki, Inés Friss and Paulós, J. Víctor and Manataki, Areti",2016
A brief introduction to TACCLE 3 — coding European project,"García-Peñalvo, Francisco J.",2016
A case study of undergraduate engineering students' computational literacy and self-beliefs about computing in the context of authentic practices,Alejandra J. Magana and Michael L. Falk and Camilo Vieira and Michael J. Reese,2016
A case study on cooperative problem solving processes in small 9th grade student groups,"Standl, Bernhard",2016
A co-creativity theoretical framework to foster and evaluate the presence of wise humanising creativity in virtual learning environments (VLEs),Chris Walsh and Kerry Chappell and Anna Craft,2017
A computing education approach for geography students in context of GIS,"Knobelsdorf, Maria and Otto, Jonathan and Sprenger, Sandra",2017
A Didactic Scenario for Implementation of Computational Thinking using Inquiry Game Learning,"Psycharis, Sarantos and Kotzampasaki, Evangelia",2017
A first proposal of Pedagogic Conversational Agents to develop Computational Thinking in children,"Urrutia, Elizabeth K. Morales and Oca\~{n}a, Jos\'{e} Miguel and P\'{e}rez-Mar\'{\i}n, Diana and Tamayo, Silvia",2017
A framework for hypothesis-driven approaches to support data-driven learning analytics in measuring computational thinking in block-based programming,"Grover, Shuchi and Bienkowski, Marie and Basu, Satabdi and Eagle, Michael and Diana, Nicholas and Stamper, John",2017
A Framework for Using Hypothesis-Driven Approaches to Support Data-Driven Learning Analytics in Measuring Computational Thinking in Block-Based Programming Environments,"Grover, Shuchi and Basu, Satabdi and Bienkowski, Marie and Eagle, Michael and Diana, Nicholas and Stamper, John",2017
9 - Transportation Cyber-Physical System as a Specialised Education Stream,Michael Henshaw and Lipika Deka,2018
A Case Study in Creating Transparency in Using Cultural Big Data: The Legacy of Slavery Project,"Cox, Ryan and Shah, Sohan and Frederick, William and Nelson, Tammie and Thomas, Will and Jansen, Greg and Dibert, Noah and Kurtz, Michael and Marciano, Richard",2018
A computational thinking course accessible to non-stem majors,"Kafura, Dennis and Bart, Austin Cory and Chowdhury, Bushra",2018
A conceptual model for cooperative thinking,"Russo, Daniel and Missiroli, Marcello and Ciancarini, Paolo",2018
A congress for children and computational thinking for everyone,"Sabitzer, Barbara and Demarle-Meusel, Heike",2018
A curriculum of computational thinking as a central idea of information &amp; media literacy,"Dengel, Andreas and Heuer, Ute",2018
A Feasibility Study of Arducation Bot : An Educational Robotics and Mobile Application Kit for Computational Thinking Skills,"Phetsrikran, Titiphan and Massagram, Wansuree and Phoka, Thanathorn and Harfield, Antony",2018
A Four Point Student-Led Strategy for Attracting Diverse Small College Commuter Campus Students to Computer Science: (Abstract Only),"Zahuantitla, Gabrielle I. and Holder, Aryanna",2018
A Free-Choice Social Learning Network for Computational Thinking,"Jamil, Hasan",2018
A Mapping Study of Computational Thinking and Programming in Brazilian K-12 Education,"Santos, Priscila S. C. and Araujo, Luis Gustavo J. and Bittencourt, Roberto A.",2018
1 WHAT IS COMPUTATIONAL THINKING?,"Denning, Peter J. and Tedre, Matti",2019
2 COMPUTATIONAL METHODS,"Denning, Peter J. and Tedre, Matti",2019
3 COMPUTING MACHINES,"Denning, Peter J. and Tedre, Matti",2019
4 COMPUTER SCIENCE,"Denning, Peter J. and Tedre, Matti",2019
5 SOFTWARE ENGINEERING,"Denning, Peter J. and Tedre, Matti",2019
6 DESIGNING FOR HUMANS,"Denning, Peter J. and Tedre, Matti",2019
7 COMPUTATIONAL SCIENCE,"Denning, Peter J. and Tedre, Matti",2019
8 TEACHING COMPUTATIONAL THINKING FOR ALL,"Denning, Peter J. and Tedre, Matti",2019
9 FUTURE COMPUTATION,"Denning, Peter J. and Tedre, Matti",2019
A Collaborative Game-Based Learning Framework to Improve Computational Thinking Skills,"Jesus, Ângelo Magno de and Silveira, Ismar Frango",2019
A Computer Scientist Teaches Gen Ed Math,"Winter, Victor and Love, Betty and Friend, Michelle and Matthews, Michael",2019
A flexible and systematic teaching framework to develop cognitive skills through programming courses,"Gacitúa, Ricardo and Diéguez, Mauricio and Díaz, Jaime and Sepúlveda, Samuel",2019
A Formative Assessment Tool to Support Computational Thinking in the Classroom,"Orozco-Garcia, Laura and Gonzalez, Carolina and Montano, Juan and Mondragon, Cristian and Tobar-Munoz, Hendrys",2019
A Framework for Decomposition in Computational Thinking,"Rich, Peter J. and Egan, Garrett and Ellsworth, Jordan",2019
A K-8 Debugging Learning Trajectory Derived from Research Literature,"Rich, Kathryn M. and Strickland, Carla and Binkowski, T. Andrew and Franklin, Diana",2019
A Machine Learning Platform for Multirotor Activity Training and Recognition,"De La Rosa, Matthew and Chen, Yinong",2019
"""We'll be Scratching all the Time""","Killen, Heather and Coenraad, Merijke and Cabrera, Lautaro and Mills, Kelly and Ketelhut, Diane Jass and Plane, Jan",2020
10 Binary Games for Computer Science Education,"Wright, Hannah and Aycock, John",2020
A blocks-based serious game to support introductory computer programming in undergraduate education,Adilson Vahldick and Paulo Roberto Farah and Maria José Marcelino and António José Mendes,2020
A case for combinatorics: A research commentary,Elise Lockwood and Nicholas H. Wasserman and Erik S. Tillema,2020
A comprheensive review of Visual Programming Tools for Arduino,"Melo, Julio and Fidelis, Melquiades and Alves, Sidney and Freitas, Ulisses and Dantas, Rummenigge",2020
A Computation Model for Learning Programming and Emotional Intelligence,"Rafique, Memoona and Hassan, Muhammad Awais and Jaleel, Abdul and Khalid, Hina and Bano, Gulshan",2020
A designerly approach as a foundation for school children's computational thinking skills while developing digital games,"Brooks, Eva and Sj\""{o}berg, Jeanette",2020
A Generator of Game Programming Challenges for Computational Thinking Development,"de Jesus, Ângelo Magno and Frango Silveira, Ismar",2020
